speaker,discourse,gender,yob,phone_id,phone,syllable,word,transcription,phone_begin,phone_end
67823,67823_f2_int3_20230328_CH_101231,female,1976,6ee8f516-55eb-11f0-b0b1-16386fa09120,a,t.a.b,établissements,e.t.a.b.ʎ.i.s.m.ɑ̃,62.6,62.66
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c74ae0-55eb-11f0-b0b1-16386fa09120,a,d.a.m,madame,m.a.d.a.m,69.44,69.51
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c70c38-55eb-11f0-b0b1-16386fa09120,a,a,accueillir,a.k.œ.j.i.ʁ,14.54,14.64
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c71502-55eb-11f0-b0b1-16386fa09120,a,s.a.b.l,responsable,ʁ.ɛ.s.p.ɔ̃.s.a.b.l,21.84,21.94
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c6d7fe-55eb-11f0-b0b1-16386fa09120,a,l.a,la,l.a,1.13,1.19
42171,42171_f7_int7_2022_03_29_CH_0-1711,male,1970,6fb1b19a-55eb-11f0-b0b1-16386fa09120,a,d.a.b.l,abordables,a.b.ɔ.ʁ.d.a.b.l,6.99,7.18
42171,42171_f1_int1_2022_03_29_CH_0-1711,male,1970,6f654fbc-55eb-11f0-b0b1-16386fa09120,a,t.a.ʒ,pourcentage,p.u.ʁ.s.ɑ̃.t.a.ʒ,55.11,55.35
98601,98601_f3_int3_2010_09_14_comm,male,1949,72009d44-55eb-11f0-b0b1-16386fa09120,a,f.a.k,insatisfaction,ɛ̃.s.a.t.i.s.f.a.k.s.j.ɔ̃,66.11,66.18
42171,42171_f2_int2_2022_03_29_CH_0-1711,male,1970,6f7a7ee6-55eb-11f0-b0b1-16386fa09120,a,l.a,la,l.a,69.05,69.12
98601,98601_f5_int5_2010_09_14_comm,male,1949,715d0102-55eb-11f0-b0b1-16386fa09120,a,p.a,municipalités,m.y.ɲ.i.s.i.p.a.ʎ.i.t.e,2.02,2.1
67823,67823_f3_int4_20230328_CH_101231,female,1976,6ecab63c-55eb-11f0-b0b1-16386fa09120,e,m.e,améliorer,a.m.e.ʎ.ɔ.ʁ.e,6.74,6.8
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c75de6-55eb-11f0-b0b1-16386fa09120,e,c.e,québec,c.e.b.ɛ.k,81.55,81.62
67823,67823_f5_int6_20230328_CH_101231,female,1976,6f4fcca0-55eb-11f0-b0b1-16386fa09120,e,d.e,des,d.e,12.66,12.71
52013,52013_f3_int3_2021_03_31_CH_0-1652,female,1966,70dce152-55eb-11f0-b0b1-16386fa09120,e,e,et,e,79.62,79.96
14401,14401_f2_int3_2022_03_29_assnat_174837,female,1985,6e185b0e-55eb-11f0-b0b1-16386fa09120,e,f.e,fédéral,f.e.d.e.ʁ.a.l,61.86,61.93
98601,98601_f2_int2_2010_09_14_comm,male,1949,71e8a392-55eb-11f0-b0b1-16386fa09120,e,d.e,concéder,k.ɔ̃.s.e.d.e,49.75,49.87
41440,41440_f5_int7_20221206_CH_152702,male,1958,70839106-55eb-11f0-b0b1-16386fa09120,e,e,éliminer,e.ʎ.i.m.i.n.e,58.57,58.65
98601,98601_f10_int11_2010_09_14_comm,male,1949,7188e196-55eb-11f0-b0b1-16386fa09120,e,ʒ.e,générales,ʒ.e.n.e.ʁ.a.l,41.14,41.2
41440,41440_f3_int4_20221206_CH_152702,male,1958,705b669a-55eb-11f0-b0b1-16386fa09120,e,p.l.e,plaisir,p.l.e.z.i.ʁ,19.73,19.78
42171,42171_f3_int3_2022_03_29_CH_0-1711,male,1970,6f905efa-55eb-11f0-b0b1-16386fa09120,e,d.e,des,d.e,84.78,84.88
14401,14401_f5_int6_2022_03_29_assnat_174837,female,1985,6e82ab08-55eb-11f0-b0b1-16386fa09120,i,d.i,dit,d.i,81.58,81.8
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c6dac4-55eb-11f0-b0b1-16386fa09120,i,ʁ.i.s,touristiques,t.u.ʁ.i.s.t.i.k,3.1,3.17
67823,67823_f4_int5_20230328_CH_101231,female,1976,6f1fe8e6-55eb-11f0-b0b1-16386fa09120,i,s.i,ciblés,s.i.b.l.e,39.84,39.9
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c7182c-55eb-11f0-b0b1-16386fa09120,i,s.i,aussi,o.s.i,25.65,25.91
14401,14401_f6_int7_2022_03_29_assnat_174837,female,1985,6e3d229a-55eb-11f0-b0b1-16386fa09120,i,m.i.l,mille,m.i.l,94.67,94.79
98601,98601_f7_int7_2010_09_14_comm,male,1949,71459378-55eb-11f0-b0b1-16386fa09120,i,v.i,révisée,ʁ.e.v.i.z.e,35.82,35.9
42171,42171_f1_int1_2022_03_29_CH_0-1711,male,1970,6f656ace-55eb-11f0-b0b1-16386fa09120,i,c.i.l,qu'il,c.i.l,82.38,82.51
41440,41440_f1_int2_20221206_CH_152702,male,1958,706c48d4-55eb-11f0-b0b1-16386fa09120,i,p.ɥ.i,appui,a.p.ɥ.i,71.17,71.37
98601,98601_f6_int6_2010_09_14_comm,male,1949,71274ae4-55eb-11f0-b0b1-16386fa09120,i,t.i,parties,p.a.ʁ.t.i,25.77,25.83
42171,42171_f7_int7_2022_03_29_CH_0-1711,male,1970,6fb1cd1a-55eb-11f0-b0b1-16386fa09120,i,m.i,millions,m.i.ʎ.ɔ̃,29.77,29.82
52013,52013_f3_int3_2021_03_31_CH_0-1652,female,1966,70dcd7b6-55eb-11f0-b0b1-16386fa09120,o,n.o,nos,n.o,70.89,71.02
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea81bae-55eb-11f0-b0b1-16386fa09120,o,p.o,l'impôt,l.ɛ̃.p.o,93.22,93.3
14401,14401_f2_int3_2022_03_29_assnat_174837,female,1985,6e182300-55eb-11f0-b0b1-16386fa09120,o,o,au,o,13.74,13.8
52013,52013_f3_int3_2021_03_31_CH_0-1652,female,1966,70dcb98e-55eb-11f0-b0b1-16386fa09120,o,o,au,o,46.9,47.01
14401,14401_f5_int6_2022_03_29_assnat_174837,female,1985,6e824546-55eb-11f0-b0b1-16386fa09120,o,f.o,faut,f.o,3.25,3.31
41440,41440_f6_int8_20221206_CH_152702,male,1958,702b8902-55eb-11f0-b0b1-16386fa09120,o,o,au,o,100.2,100.31
41440,41440_f6_int8_20221206_CH_152702,male,1958,702b659e-55eb-11f0-b0b1-16386fa09120,o,o,aura,o.ʁ.ɑ,72.16,72.26
98601,98601_f4_int4_2010_09_14_comm,male,1949,71724fb2-55eb-11f0-b0b1-16386fa09120,o,p.o,proposition,p.ʁ.ɔ.p.o.z.i.s.j.ɔ̃,38.98,39.09
41440,41440_f1_int2_20221206_CH_152702,male,1958,706c2160-55eb-11f0-b0b1-16386fa09120,o,o,autant,o.t.ɑ̃,35.84,35.95
98601,98601_f10_int11_2010_09_14_comm,male,1949,7188e998-55eb-11f0-b0b1-16386fa09120,o,o.t.ʁ,autre,o.t.ʁ,45.96,46.03
14401,14401_f3_int4_2022_03_29_assnat_174837,female,1985,6e60978e-55eb-11f0-b0b1-16386fa09120,u,t.u,toujours,t.u.ʒ.u.ʁ,27.12,27.2
67823,67823_f2_int3_20230328_CH_101231,female,1976,6ee8c974-55eb-11f0-b0b1-16386fa09120,u,k.u,coût,k.u,31.59,31.66
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c6e726-55eb-11f0-b0b1-16386fa09120,u,p.u,pourra,p.u.ʁ.ɑ,13.39,13.49
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7c596-55eb-11f0-b0b1-16386fa09120,u,ʒ.u.ʁ,toujours,t.u.ʒ.u.ʁ,9.26,9.37
67823,67823_f5_int6_20230328_CH_101231,female,1976,6f5030c8-55eb-11f0-b0b1-16386fa09120,u,s.u,soutien,s.u.t.j.ɛ̃,75.99,76.05
98601,98601_f10_int11_2010_09_14_comm,male,1949,7188b130-55eb-11f0-b0b1-16386fa09120,u,t.u,tous,t.u,3.49,3.55
98601,98601_f10_int11_2010_09_14_comm,male,1949,71892200-55eb-11f0-b0b1-16386fa09120,u,v.u,vous,v.u,83.13,83.24
98601,98601_f6_int6_2010_09_14_comm,male,1949,712751f6-55eb-11f0-b0b1-16386fa09120,u,ʒ.u.ʁ,jour,ʒ.u.ʁ,33.39,33.57
98601,98601_f2_int2_2010_09_14_comm,male,1949,71e87264-55eb-11f0-b0b1-16386fa09120,u,n.u,nouvelle,n.u.v.ɛ.l,14.08,14.21
41440,41440_f4_int6_20221206_CH_152702,male,1958,7020560e-55eb-11f0-b0b1-16386fa09120,u,p.u.ʁ,pour,p.u.ʁ,3.97,4.08
67823,67823_f1_int2_20230328_CH_101231,female,1976,6f0a1836-55eb-11f0-b0b1-16386fa09120,y,d.y,du,d.y,36.82,36.89
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7d108-55eb-11f0-b0b1-16386fa09120,y,d.y,du,d.y,19.27,19.34
67823,67823_f4_int5_20230328_CH_101231,female,1976,6f1fb2a4-55eb-11f0-b0b1-16386fa09120,y,k.y.l,facultés,f.a.k.y.l.t.e,5.67,5.76
52013,52013_f2_int2_2021_03_31_CH_0-1652,female,1966,70f3ec4e-55eb-11f0-b0b1-16386fa09120,y,y.n,une,y.n,20.64,20.78
52013,52013_f5_int5_2021_03_31_CH_0-1652,female,1966,7099c7c8-55eb-11f0-b0b1-16386fa09120,y,d.y,durable,d.y.ʁ.a.b.l,42.28,42.34
98601,98601_f4_int4_2010_09_14_comm,male,1949,71723d74-55eb-11f0-b0b1-16386fa09120,y,s.y.p.s,substance,s.y.p.s.t.ɑ̃.s,25.86,25.91
41440,41440_f5_int7_20221206_CH_152702,male,1958,708381a2-55eb-11f0-b0b1-16386fa09120,y,ʒ.y.s,justement,ʒ.y.s.t.ə.m.ɑ̃,49.06,49.15
98601,98601_f8_int8_2010_09_14_comm,male,1949,71c01d3c-55eb-11f0-b0b1-16386fa09120,y,s.y.l,consultés,k.ɔ̃.s.y.l.t.e,62.33,62.41
98601,98601_f4_int4_2010_09_14_comm,male,1949,717237e8-55eb-11f0-b0b1-16386fa09120,y,p.y.b,publiques,p.y.b.ʎ.i.k,20.72,20.77
42171,42171_f4_int4_2022_03_29_CH_0-1711,male,1970,6fdccfce-55eb-11f0-b0b1-16386fa09120,y,y.n,une,y.n,88.24,88.3
52013,52013_f1_int1_2021_03_31_CH_0-1652,female,1966,710ae4e4-55eb-11f0-b0b1-16386fa09120,ø,d.ø.z.j,deuxième,d.ø.z.j.ɛ.m,13.67,13.74
67823,67823_f4_int5_20230328_CH_101231,female,1976,6f1faf7a-55eb-11f0-b0b1-16386fa09120,ø,d.ø,deux,d.ø,3.89,3.96
52013,52013_f1_int1_2021_03_31_CH_0-1652,female,1966,710b006e-55eb-11f0-b0b1-16386fa09120,ø,d.ø,deux,d.ø,31.32,31.55
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c71d0e-55eb-11f0-b0b1-16386fa09120,ø,d.ø,deux,d.ø,29.01,29.25
52013,52013_f4_int4_2021_03_31_CH_0-1652,female,1966,70b035c6-55eb-11f0-b0b1-16386fa09120,ø,mʲ.ø,mieux,mʲ.ø,11.29,11.34
42171,42171_f4_int4_2022_03_29_CH_0-1711,male,1970,6fdc7cf4-55eb-11f0-b0b1-16386fa09120,ø,d.ø,deux,d.ø,7.04,7.14
42171,42171_f6_int6_2022_03_29_CH_0-1711,male,1970,6fc73b78-55eb-11f0-b0b1-16386fa09120,ø,d.ø,deux,d.ø,53.63,53.8
41440,41440_f1_int2_20221206_CH_152702,male,1958,706c160c-55eb-11f0-b0b1-16386fa09120,ø,v.ø,veux,v.ø,24.98,25.04
42171,42171_f3_int3_2022_03_29_CH_0-1711,male,1970,6f907714-55eb-11f0-b0b1-16386fa09120,ø,d.j.ø,dispendieux,d.i.s.p.ɑ̃.d.j.ø,98.31,98.43
98601,98601_f2_int2_2010_09_14_comm,male,1949,71e87912-55eb-11f0-b0b1-16386fa09120,ø,ʒ.ø,jeu,ʒ.ø,20.03,20.14
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c73bcc-55eb-11f0-b0b1-16386fa09120,œ,œ,euh,œ,55.34,55.51
52013,52013_f1_int1_2021_03_31_CH_0-1652,female,1966,710b24f4-55eb-11f0-b0b1-16386fa09120,œ,œ,euh,œ,64.29,64.4
52013,52013_f4_int4_2021_03_31_CH_0-1652,female,1966,70b06776-55eb-11f0-b0b1-16386fa09120,œ,œ,euh,œ,52.9,53.31
52013,52013_f2_int2_2021_03_31_CH_0-1652,female,1966,70f41886-55eb-11f0-b0b1-16386fa09120,œ,œ,euh,œ,56.1,56.57
14401,14401_f3_int4_2022_03_29_assnat_174837,female,1985,6e609e8c-55eb-11f0-b0b1-16386fa09120,œ,œ.ʁ,heure,œ.ʁ,33,33.24
41440,41440_f2_int3_20221206_CH_152702,male,1958,7043de12-55eb-11f0-b0b1-16386fa09120,œ,œ,euh,œ,70.64,70.82
98601,98601_f1_int1_2010_09_14_comm,male,1949,71a3ff62-55eb-11f0-b0b1-16386fa09120,œ,œ,euh,œ,39.6,39.9
98601,98601_f5_int5_2010_09_14_comm,male,1949,715d376c-55eb-11f0-b0b1-16386fa09120,œ,t.œ.ʁ,électeurs,e.l.ɛ.k.t.œ.ʁ,46.11,46.27
42171,42171_f8_int8_2022_03_29_CH_0-1711,male,1970,700af9b2-55eb-11f0-b0b1-16386fa09120,œ,œ,euh,œ,62.55,62.75
42171,42171_f5_int5_2022_03_29_CH_0-1711,male,1970,6ff3ac76-55eb-11f0-b0b1-16386fa09120,œ,œ,euh,œ,55.49,55.83
14401,14401_f2_int3_2022_03_29_assnat_174837,female,1985,6e18271a-55eb-11f0-b0b1-16386fa09120,œ̃,œ̃,un,œ̃,18.41,18.47
52013,52013_f1_int1_2021_03_31_CH_0-1652,female,1966,710b0b0e-55eb-11f0-b0b1-16386fa09120,œ̃,œ̃,un,œ̃,41.08,41.23
14401,14401_f5_int6_2022_03_29_assnat_174837,female,1985,6e829cda-55eb-11f0-b0b1-16386fa09120,œ̃,œ̃,un,œ̃,69.53,69.74
14401,14401_f3_int4_2022_03_29_assnat_174837,female,1985,6e60d848-55eb-11f0-b0b1-16386fa09120,œ̃,œ̃,un,œ̃,85.04,85.27
